no_obs,varenummer,varenavn,Virkestoff,legemiddelform,Styrke,Dose ,ml/dose/day,kg,Doseper kg min,Dose per kilo max,min kg,max kg,min days,max days,min dose,Max dose,Max dose*2,lmp_enhet_pakning_v,Source
12574,11015,Streptocillin Forte vet,Benzylpenicillinprokainmonohydrat | Dihydrostreptomycin,Intramammarie,500 mg | 1 g,,8,,,,1,4,1,6,8,192,,g,https://www.dmp.no/veterinermedisin/terapianbefalinger-og-forskrivning-av-legemidler-til-dyr/bruk-av-antibakterielle-midler-til-matproduserende-dyr/terapianbefalinger-for-storfe#Jur-2
642,522003,Streptocillin vet,Benzylpenicillinprokainmonohydrat | Dihydrostreptomycin,Intramammarie,200 mg | 200 mg,,8,,,,1,4,1,6,8,192,,g,https://www.dmp.no/veterinermedisin/terapianbefalinger-og-forskrivning-av-legemidler-til-dyr/bruk-av-antibakterielle-midler-til-matproduserende-dyr/terapianbefalinger-for-storfe#Jur-2
594,522003,Streptocillin vet,Benzylpenicillinprokainmonohydrat | Dihydrostreptomycin,Intramammarie,200 mg | 200 mg,,8,,,,1,4,1,6,8,192,,g,https://www.dmp.no/veterinermedisin/terapianbefalinger-og-forskrivning-av-legemidler-til-dyr/bruk-av-antibakterielle-midler-til-matproduserende-dyr/terapianbefalinger-for-storfe#Jur-2
34,402743,Streptocillin vet,Benzylpenicillinprokain | Dihydrostreptomycin,Injeksjon,200 mg | 250 mg,45 mg/kg,1,10,0.1,0.2,40,1300,1,10,4,2600,5200,ml,https://www.felleskatalogen.no/medisin-vet/streptocillin-vet-boehringer-ingelheim-animal-health-nordics-a-s-564194
7604,402735,Streptocillin vet,Benzylpenicillin | Dihydrostreptomycin,Injeksjon,200 mg | 250 mg,45 mg/kg,1,10,0.1,0.2,40,1300,1,10,4,2600,5200,ml,https://www.felleskatalogen.no/medisin-vet/streptocillin-vet-boehringer-ingelheim-animal-health-nordics-a-s-564194
2,402735,Streptocillin vet,Benzylpenicillin | Dihydrostreptomycin,Injeksjon,200 mg | 250 mg,45 mg/kg,1,10,0.1,0.2,40,1300,1,10,4,2600,5200,ml,https://www.felleskatalogen.no/medisin-vet/streptocillin-vet-boehringer-ingelheim-animal-health-nordics-a-s-564194
10192,145003,Streptocillin vet,Benzylpenicillinprokain | Dihydrostreptomycin,Injeksjon,200 mg | 250 mg,45 mg/kg,1,10,0.1,0.2,40,1300,1,10,4,2600,5200,ml,https://www.felleskatalogen.no/medisin-vet/streptocillin-vet-boehringer-ingelheim-animal-health-nordics-a-s-564194
4,145003,Streptocillin vet,Benzylpenicillinprokain | Dihydrostreptomycin,Injeksjon,200 mg | 250 mg,45 mg/kg,1,10,0.1,0.2,40,1300,1,10,4,2600,5200,ml,https://www.felleskatalogen.no/medisin-vet/streptocillin-vet-boehringer-ingelheim-animal-health-nordics-a-s-564194
1,244418,Strepto-fatol,Streptomycin,Injeksjon_pulver,1 g per  pk,22–33 mg/kg,0.022,1,0.022,0.033,40,1300,1,5,0.88,214.5,429,g,https://www.msdvetmanual.com/multimedia/table/dosages-of-aminoglycosides
1,222851,Sulfametizol alternova,Sulfametizol,Tablett,500 mg,55 mg/kg,0.11,1,0.11,,40,1300,1,5,4.4,715,1430,stk,https://www.msdvetmanual.com/multimedia/table/dosages-of-sulfonamides
13293,165035,Synulox Comp vet,Amoksicillin | Klavulansyre | Prednisolon,Intramammarie,200 mg | 50 mg | 10 mg,,,,,,1,4,1,6,1,24,,sprøyte,https://www.dmp.no/veterinermedisin/terapianbefalinger-og-forskrivning-av-legemidler-til-dyr/bruk-av-antibakterielle-midler-til-matproduserende-dyr/terapianbefalinger-for-storfe#Jur-2
4833,165035,Synulox Comp vet,Amoksicillin | Klavulansyre | Prednisolon,Intramammarie,200 mg | 50 mg | 10 mg,,,,,,1,4,1,6,1,24,,sprøyte,https://www.dmp.no/veterinermedisin/terapianbefalinger-og-forskrivning-av-legemidler-til-dyr/bruk-av-antibakterielle-midler-til-matproduserende-dyr/terapianbefalinger-for-storfe#Jur-2
132,361411,Synulox LC Plus vet,Amoksicillin | Klavulansyre | Prednisolon,Intramammarie,200 mg | 50 mg | 10 mg,,,,1,,1,4,1,6,1,24,,sprøyte,https://www.dmp.no/veterinermedisin/terapianbefalinger-og-forskrivning-av-legemidler-til-dyr/bruk-av-antibakterielle-midler-til-matproduserende-dyr/terapianbefalinger-for-storfe#Jur-2
63,361411,Synulox LC Plus vet,Amoksicillin | Klavulansyre | Prednisolon,Intramammarie,200 mg | 50 mg | 10 mg,,,,,,1,4,1,6,1,24,,sprøyte,https://www.dmp.no/veterinermedisin/terapianbefalinger-og-forskrivning-av-legemidler-til-dyr/bruk-av-antibakterielle-midler-til-matproduserende-dyr/terapianbefalinger-for-storfe#Jur-2
16,252900,Synulox Ready-To-Use vet,Amoksicillin | Klavulansyre,Injeksjon,140 mg per 1 ml | 35 mg per 1 ml,8.75 mg/kg,1,20,0.05,,40,1300,1,5,2,325,650,ml,https://assets.hpra.ie/products/Animal/171/ie-spc-600000064363-np-vpa10387-075-001-en_14042025150332.pdf
10,240237,Synulox Ready-To-Use vet,Amoksicillin | Klavulansyre,Injeksjon,140 mg per 1 ml | 35 mg per 1 ml,8.75 mg/kg,1,20,0.05,,40,1300,1,5,2,325,650,ml,https://assets.hpra.ie/products/Animal/171/ie-spc-600000064363-np-vpa10387-075-001-en_14042025150332.pdf
24,169623,Synulox vet,Amoksicillin | Klavulansyre,Injeksjon,140 mg per 1 ml | 35 mg per 1 ml,8.75 mg/kg,1,20,0.05,,40,1300,1,5,2,325,650,ml,https://assets.hpra.ie/products/Animal/171/ie-spc-600000064363-np-vpa10387-075-001-en_14042025150332.pdf
2,169623,Synulox vet,Amoksicillin | Klavulansyre,Injeksjon,140 mg per 1 ml | 35 mg per 1 ml,8.75 mg/kg,1,20,0.05,,40,1300,1,5,2,325,650,ml,https://assets.hpra.ie/products/Animal/171/ie-spc-600000064363-np-vpa10387-075-001-en_14042025150332.pdf
4,88435,Synulox vet,Amoksicillin | Klavulansyre,Tablett,200 mg | 50 mg,8.75 mg/kg,0.035,1,0.035,,40,1300,1,5,1.4,227.5,455,stk,https://assets.hpra.ie/products/Animal/171/ie-spc-600000064363-np-vpa10387-075-001-en_14042025150332.pdf
4,88419,Synulox vet,Amoksicillin | Klavulansyre,Tablett,40 mg | 10 mg,8.75 mg/kg,0.175,1,0.175,,40,1300,1,5,7,1137.5,2275,stk,https://assets.hpra.ie/products/Animal/171/ie-spc-600000064363-np-vpa10387-075-001-en_14042025150332.pdf
38,30981,Synulox vet,Amoksicillin | Klavulansyre,Tablett,400 mg | 100 mg,8.75 mg/kg,0.0175,1,0.0175,,40,1300,1,5,0.7,113.75,227.5,stk,https://assets.hpra.ie/products/Animal/171/ie-spc-600000064363-np-vpa10387-075-001-en_14042025150332.pdf
5607,400176,Terramycin Prolongatum vet,Oksytetrasyklin,Injeksjon,200 mg per 1 ml,20 mg pr. kg,1,10,0.1,,40,1300,1,1,4,130,260,ml,https://www.felleskatalogen.no/medisin-vet/terramycin-prolongatum-vet-zoetis-564558?markering=0#dosering
4797,531046,Terramycin vet,Oksytetrasyklin,Injeksjon,100 mg per 1 ml,5 – 10 mg/kg,1,10,0.1,0.2,40,1300,1,5,4,1300,2600,ml,https://vetisearch.no/spcs/39034-terramycin-vet
7,531046,Terramycin vet,Oksytetrasyklin,Injeksjon,100 mg per 1 ml,5 – 10 mg/kg,1,10,0.1,0.2,40,1300,1,5,4,1300,2600,ml,https://vetisearch.no/spcs/39034-terramycin-vet
6618,529529,Terramycin vet,Oksytetrasyklin,Injeksjon,100 mg per 1 ml,5 – 10 mg/kg,1,10,0.1,0.2,40,1300,1,5,4,1300,2600,ml,https://vetisearch.no/spcs/39034-terramycin-vet
3,529529,Terramycin vet,Oksytetrasyklin,Injeksjon,100 mg per 1 ml,5 – 10 mg/kg,1,10,0.1,0.2,40,1300,1,5,4,1300,2600,ml,https://vetisearch.no/spcs/39034-terramycin-vet
238,287359,Terramycin vet,Oksytetrasyklin,Uteritorie,500 mg,5 – 10 mg/kg,3,1,1,,1,1,1,3,1,9,18,stk,https://fass.se/animal/product/19710528000014/fass-text#dosage
65,164764,Terramycin vet,Oksytetrasyklin,Oralt pulver,200 mg per 1 g,40 mg/kg twice,0.4,1,0.4,,40,1300,1,10,16,5200,10400,g,https://www.felleskatalogen.no/medisin-vet/terramycin-vet-phibro-animal-health-564559?markering=0
1527,157818,Terramycin vet,Oksytetrasyklin,Uteritorie,500 mg,5 – 10 mg/kg,3,1,1,,1,1,1,3,1,9,18,stk,https://fass.se/animal/product/19710528000014/fass-text#dosage
52,582726,Tribrissen vet,Sulfadiazin | Trimetoprim,Tablett,400 mg | 80 mg,15 mg/kg,0.03,1,0.03,,40,1300,1,10,1.2,390,780,stk,https://www.felleskatalogen.no/medisin-vet/tulaven-ceva-santee-animale-684782#dosering
126,430157,Tribrissen vet,Sulfadiazin | Trimetoprim,Injeksjon,400 mg per 1 ml | 80 mg per 1 ml,15 mg/kg,3,100,0.03,,40,1300,1,10,1.2,390,780,ml,https://www.felleskatalogen.no/medisin-vet/tulaven-ceva-santee-animale-684782#dosering
6,145318,Tribrissen vet,Sulfadiazin | Trimetoprim,Oralt pulver,333 mg per 1 g | 67 mg per 1 g,15 mg/kg,0.0000375,1,0.0000375,,40,1300,1,10,0.0015,0.4875,0.975,kg,https://www.felleskatalogen.no/medisin-vet/tulaven-ceva-santee-animale-684782#dosering
10048,81406,Tribrissen vet,Sulfadiazin | Trimetoprim,Injeksjon,400 mg per 1 ml | 80 mg per 1 ml,15 mg/kg,3,100,0.03,,40,1300,1,10,1.2,390,780,ml,https://www.felleskatalogen.no/medisin-vet/tulaven-ceva-santee-animale-684782#dosering
27,519445,Trymox vet,Amoksicillin,Injeksjon,150 mg per 1 ml,15 mg/kg,1,10,0.1,,40,1300,1,2,4,260,520,ml,https://www.felleskatalogen.no/medisin-vet/trymox-vet-univet-ltd-697158?markering=0
1,175956,Tulaven,Tulatromycin,Injeksjon,100 mg per 1 ml,"2,5 mg/kg",1,40,0.025,,40,1300,1,1,1,32.5,65,ml,https://www.felleskatalogen.no/medisin-vet/tulaven-ceva-santee-animale-684782#dosering
27,205876,Ubrostar dry cow vet,Benzylpenicillin | Penetamat | Framycetin,Intramammarie DCT,280 mg per 1 sprøyte | 100 mg per 1 sprøyte | 100 mg per 1 sprøyte,,,,1,,1,4,1,1,1,4,,sprøyte,https://www.noahcompendium.co.uk/?id=-447854
12,376742,Zactran,Gamitromycin,Injeksjon,150 mg per 1 ml,6 mg/kg,1,25,0.04,,40,1300,1,1,1.6,52,104,ml,https://www.felleskatalogen.no/medisin-vet/zactran-boehringer-ingelheim-vetmedica-gmbh-567793?markering=0#dosering
4442,159386,Zactran,Gamitromycin,Injeksjon,150 mg per 1 ml,6 mg/kg,1,25,0.04,,40,1300,1,1,1.6,52,104,ml,https://www.felleskatalogen.no/medisin-vet/zactran-boehringer-ingelheim-vetmedica-gmbh-567793?markering=0#dosering
204,485224,Zeleris,Florfenikol | Meloksikam,Injeksjon,400 mg per 1 ml | 5 mg per 1 ml,40 mg/kg,1,10,0.1,,40,1300,1,1,4,130,260,ml,https://www.felleskatalogen.no/medisin-vet/zeleris-ceva-santee-animale-648234?markering=0#dosering
364,99684,Zeleris,Florfenikol | Meloksikam,Injeksjon,400 mg per 1 ml | 5 mg per 1 ml,40 mg/kg,1,10,0.1,,40,1300,1,1,4,130,260,ml,https://www.felleskatalogen.no/medisin-vet/zeleris-ceva-santee-animale-648234?markering=0#dosering
,043562,Sulfa-Streptocillin vet,Benzylpenicillinprokain | Dihydrostreptomycin | Sulfadimidin,Uteritorie, 250 mg per 1 stk | 500 mg per 1 stk | 4 g per 1 stk,1-4 per cow per day,1,1,1,4,1,1,1,5,1,20,,stk,
,128131,Sulfa-Streptocillin vet,Benzylpenicillinprokain | Dihydrostreptomycin | Sulfadimidin,Uteritorie, 250 mg per 1 stk | 500 mg per 1 stk | 4 g per 1 stk,1-4 per cow per day,1,1,1,4,1,1,1,5,1,20,,stk,
,195202,Vetmast,Penetamat,Injeksjon,236.3 mg per 1 ml,14.2 mg/kg/day,2,1,1,3,1,1,1,4,1,12,24,S,https://vetisearch.no/spcs/39270-vetmast
,326509,Adjusol TMP Sulfa vet,Sulfadiazin | Trimetoprim,Mikstur,83.35 mg per 1 ml | 16.65 mg per 1 ml,30 mg/kg/day,0.003,10,0.0003,0.0003,40,150,1,7,0.012,0.315,0.63,L,https://www.vetlis.no/accounts/vetlisWebNo/uploads/userfiles/files/Adjusol.pdf
,383638,Imacillin,Amoksicillin,Mikstur,50 mg per 1 ml,20 mg/kg/day,4,10,0.4,0.4,40,150,1,5,16,300,600,ml,https://www.felleskatalogen.no/medisin-vet/clamoxyl-vet-zoetis-547554
,000531,Imacillin,Amoksicillin,Mikstur,100 mg per 1 ml,20 mg/kg/day,2,10,0.2,0.2,40,150,1,5,8,150,300,ml,https://www.felleskatalogen.no/medisin-vet/clamoxyl-vet-zoetis-547554
,076083,Clamoxyl vet,Amoksicillin,Tablett,200 mg,7 mg/kg,0.035,1,0.035,,40,1300,1,5,1.4,227.5,455,stk,https://www.felleskatalogen.no/medisin-vet/clamoxyl-vet-zoetis-547554
,044046,Clamoxyl vet,Amoksicillin,Tablett,40 mg,7 mg/kg,0.175,1,0.175,,40,1300,1,5,7,1137.5,2275,stk,https://www.felleskatalogen.no/medisin-vet/clamoxyl-vet-zoetis-547554
,440677,Penicillin Actavis,Benzylpenicillin,Injeksjon_pulver,600 mg,20000-60000 IE/kg/dag,0.012,1,0.012,,40,1300,1,10,0.48,156,,g,https://www.felleskatalogen.no/medisin-vet/penovet-vet-boehringer-ingelheim-animal-health-nordics-a-s-562709
,546846,Benzylpenicillin Panpharma,Benzylpenicillinnatrium,Injeksjon_pulver,6 g,20000-60000 IE/kg/dag,0.012,1,0.012,,40,1300,1,10,0.48,156,312,g,https://www.felleskatalogen.no/medisin-vet/penovet-vet-boehringer-ingelheim-animal-health-nordics-a-s-562709
,002971,Doxylin,Doksysyklin,Tablett,100 mg,10 mg/kg,0.1,1,0.1,,40,150,1,5,4,75,150,stk,https://www.felleskatalogen.no/medisin-vet/ronaxan-vet-boehringer-ingelheim-animal-health-nordics-a-s-563614
,440677,Penicillin Actavis,Benzylpenicillin,Injeksjon_pulver,600 mg,20000-60000 IE/kg/dag,12,1,12,,40,1300,1,10,480,156000,312000,mg,https://www.felleskatalogen.no/medisin-vet/penovet-vet-boehringer-ingelheim-animal-health-nordics-a-s-562709
,000002,Prokainpenicillin/dihydrostreptomycin,Benzylpenicillin | Dihydrostreptomycin,Intramammarie,250 mg per 1 ml | 200 mg per 1 ml,,,,,,1,4,1,6,0.001,0.024,,l,https://www.dmp.no/veterinermedisin/terapianbefalinger-og-forskrivning-av-legemidler-til-dyr/bruk-av-antibakterielle-midler-til-matproduserende-dyr/terapianbefalinger-for-storfe#Jur-2
,546846,Benzylpenicillin Panpharma,Benzylpenicillinnatrium,Injeksjon_pulver,6 g,20000-60000 IE/kg/dag,0.02,1,0.02,,40,1300,1,10,0.8,260,520,mill IE,https://www.felleskatalogen.no/medisin-vet/penovet-vet-boehringer-ingelheim-animal-health-nordics-a-s-562709
,589531,Apocillin,Fenoksymetylpenicillin,Tablett,660 mg,30-95 mg/kg,0.045,1,0.045,0.14,40,1300,1,10,1.8,1820,3640,stk,https://www.msdvetmanual.com/multimedia/table/dosages-of-penicillins
,589499,Apocillin,Fenoksymetylpenicillin,Tablett,660 mg,30-95 mg/kg,0.045,1,0.045,0.14,40,1300,1,10,1.8,1820,3640,stk,https://www.msdvetmanual.com/multimedia/table/dosages-of-penicillins
,589481,Apocillin,Fenoksymetylpenicillin,Tablett,330 mg,30-95 mg/kg,0.09,1,0.09,0.29,40,1300,1,10,3.6,3770,7540,stk,https://www.msdvetmanual.com/multimedia/table/dosages-of-penicillins
,016584,Apocillin,Fenoksymetylpenicillin,Granulat til mikstur,50 mg per 1 ml,30-95 mg/kg,0.6,1,0.6,1.9,40,1300,1,10,24,24700,49400,ml,https://www.msdvetmanual.com/multimedia/table/dosages-of-penicillins
,019786,Amoxicillin Mylan,Amoksicillin,Kapsel hard,500 mg,7-20 mg/kg,0.014,1,0.014,0.04,40,1300,1,5,0.56,260,520,stk,https://www.felleskatalogen.no/medisin-vet/clamoxyl-vet-zoetis-547554
,014147,Amoxicillin Sandoz,Amoksicillin,Pulver til mikstur suspensjon,100 mg per 1 ml,7-20 mg/kg,0.07,1,0.07,0.2,40,1300,1,5,2.8,1300,2600,ml,https://www.felleskatalogen.no/medisin-vet/clamoxyl-vet-zoetis-547554
,014158,Amoxicillin Sandoz,Amoksicillin,Pulver til mikstur suspensjon,100 mg per 1 ml,7-20 mg/kg,0.07,1,0.07,0.2,40,1300,1,5,2.8,1300,2600,ml,https://www.felleskatalogen.no/medisin-vet/clamoxyl-vet-zoetis-547554
,129797,Imaxi,Amoksicillin,Pulver til mikstur suspensjon,100 mg per 1 ml,7-20 mg/kg,0.07,1,0.07,0.2,40,1300,1,5,2.8,1300,2600,ml,https://www.felleskatalogen.no/medisin-vet/clamoxyl-vet-zoetis-547554
,594446,Imaxi,Amoksicillin,Pulver til mikstur suspensjon,50 mg per 1 ml,7-20 mg/kg,0.14,1,0.14,0.4,40,1300,1,5,5.6,2600,5200,ml,https://www.felleskatalogen.no/medisin-vet/clamoxyl-vet-zoetis-547554
,357316,InfectoMox,Amoksicillin,Pulver til mikstur suspensjon,100 mg per 1 ml,7-20 mg/kg,0.07,1,0.07,0.2,40,1300,1,5,2.8,1300,2600,ml,https://www.felleskatalogen.no/medisin-vet/clamoxyl-vet-zoetis-547554
