no_obs,varenummer,varenavn,Virkestoff,legemiddelform,Styrke,Dose ,ml/dose/day,kg,Doseper kg min,Dose per kilo max,min kg,max kg,min days,max days,min dose,Max dose,Max dose*2,lmp_enhet_pakning_v,Source
1,284231,Benzylpenicillin VM panpharma SA,Benzylpenicillin,Infusjon_pulver,3 g,20.000 ie/kg,0.012,1,0.012,,40,1300,1,10,0.48,156,312,g,https://www.msdvetmanual.com/multimedia/table/dosages-of-penicillins
1,284231,Benzylpenicillin VM panpharma SA,Benzylpenicillin,Infusjon_pulver,3 g,20.000 ie/kg,0.012,1,0.012,,40,1300,1,10,0.48,156,312,g,https://www.msdvetmanual.com/multimedia/table/dosages-of-penicillins
248,573998,Borgal vet,Sulfadoksin | Trimetoprim,Injeksjon,200 mg per 1 ml | 40 mg per 1 ml,15 mg/kg,0.6,10,0.06,,40,1300,1,10,2.4,780,1560,ml,https://www.felleskatalogen.no/medisin-vet/borgal-vet-ceva-santee-animale-547049?markering=0
2,573998,Borgal vet,Sulfadoksin | Trimetoprim,Injeksjon,200 mg per 1 ml | 40 mg per 1 ml,15 mg/kg,0.6,10,0.06,,40,1300,1,10,2.4,780,1560,ml,https://www.felleskatalogen.no/medisin-vet/borgal-vet-ceva-santee-animale-547049?markering=0
91308,502070,Borgal vet,Sulfadoksin | Trimetoprim,Injeksjon,200 mg per 1 ml | 40 mg per 1 ml,15 mg/kg,0.6,10,0.06,,40,1300,1,10,2.4,780,1560,ml,https://www.felleskatalogen.no/medisin-vet/borgal-vet-ceva-santee-animale-547049?markering=1
10,502070,Borgal vet,Sulfadoksin | Trimetoprim,Injeksjon,200 mg per 1 ml | 40 mg per 1 ml,15 mg/kg,0.6,10,0.06,,40,1300,1,10,2.4,780,1560,ml,https://www.felleskatalogen.no/medisin-vet/borgal-vet-ceva-santee-animale-547049?markering=2
476,308144,Borgal vet,Sulfadoksin | Trimetoprim,Injeksjon,200 mg per 1 ml | 40 mg per 1 ml,15 mg/kg,0.6,10,0.06,,40,1300,1,10,2.4,780,1560,ml,https://www.felleskatalogen.no/medisin-vet/borgal-vet-ceva-santee-animale-547049?markering=3
1420,264291,Borgal vet,Sulfadoksin | Trimetoprim,Injeksjon,62.5 mg per 1 ml | 12.5 mg per 1 ml,15 mg/kg,0.2,1,0.2,,40,1300,1,10,8,2600,5200,ml,https://www.felleskatalogen.no/medisin-vet/borgal-vet-ceva-santee-animale-547049?markering=4
3240,19403,Carepen vet,Benzylpenicillin,Intramammarie,600 mg per 1 sprøyte,,,,,,1,4,1,6,1,24,,sprøyte,https://www.felleskatalogen.no/medisin-vet/carepen-vet-vetcare-547273?markering=0
272,19403,Carepen vet,Benzylpenicillin,Intramammarie,600 mg per 1 sprøyte,,,,,,1,4,1,6,1,24,,sprøyte,https://www.felleskatalogen.no/medisin-vet/carepen-vet-vetcare-547273?markering=0
3344,1994,Carepen vet,Benzylpenicillin,Intramammarie,600 mg per 1 sprøyte,,,,,,1,4,1,6,1,24,,sprøyte,https://www.felleskatalogen.no/medisin-vet/carepen-vet-vetcare-547273?markering=0
2593,1994,Carepen vet,Benzylpenicillin,Intramammarie,600 mg per 1 sprøyte,,,,,,1,4,1,6,1,24,,sprøyte,https://www.felleskatalogen.no/medisin-vet/carepen-vet-vetcare-547273?markering=0
,482630,Carepen vet,Benzylpenicillin,Intramammarie,600 mg per 1 sprøyte,,,,,,1,4,1,6,1,24,,sprøyte,https://www.felleskatalogen.no/medisin-vet/carepen-vet-vetcare-547273?markering=0
,486198,Carepen vet,Benzylpenicillin,Intramammarie,600 mg per 1 sprøyte,,,,,,1,4,1,6,1,24,,sprøyte,https://www.felleskatalogen.no/medisin-vet/carepen-vet-vetcare-547273?markering=0
14,296929,Clamoxyl Long Acting vet 150 mg/ml,Amoksicillin,Injeksjon,150 mg per 1 ml,7 mg/kg,1,20,0.05,,40,1300,1,2,2,130,260,ml,https://www.felleskatalogen.no/medisin-vet/clamoxyl-vet-zoetis-547554?markering=0
39,350942,Clamoxyl prolongatum vet 150 mg/ml,Amoksicillin,Injeksjon,150 mg per 1 ml,7 mg/kg,1,20,0.05,,40,1300,1,2,2,130,260,ml,https://www.felleskatalogen.no/medisin-vet/clamoxyl-vet-zoetis-547554?markering=1
1,424075,Clamoxyl vet,Amoksicillin,Oral oppløsning_pulver,510 mg per 1 g,7 mg/kg,0.013,1,0.013,,40,1300,1,10,0.00052,0.169,0.338,kg,https://www.felleskatalogen.no/medisin-vet/clamoxyl-vet-zoetis-547554?markering=2
